username,created_at,lng,lat,text, ,,
goodell2017, Thu Apr 23 17:29:34 +0000 2020,-119.17594,46.199292, @cheathbar1 @ChrisMurphyCT Ditto well said, Trump should have been helping the United States, not the divided States. Bonnie 🤗 ,
mcf222, Thu Apr 23 17:29:34 +0000 2020,-122.630908,45.536402, EMERGENCY MONEY FOR PEOPLE ACTEMERGENCY MONEY FOR PEOPLE ACTEMERGENCY MONEY FOR PEOPLE ACTEMERGENCY MONEY FOR PE… https://t.co/dBrcfvByDn ,,,
TheDarkLord6969, Thu Apr 23 17:29:36 +0000 2020,-120.583402,44.145437, @EasyTradingg Yes please! ,,,
joebags24, Thu Apr 23 17:29:38 +0000 2020,-121.743606,47.476616, @snovalleysports Both my kids yes indeed. ,,,
Michael72172097, Thu Apr 23 17:29:39 +0000 2020,-120.583402,44.145437, Nope. Voter Id or nothing you moron. ,,,
rois_bruce, Thu Apr 23 17:29:39 +0000 2020,-122.149768,47.597856, when I was little my parents promised to pay us allowance but then gave up keeping track so they took us to Disneyl… https://t.co/CsDl8FRSQE ,,,
saysthegirl, Thu Apr 23 17:29:40 +0000 2020,-122.284264,47.176459, @SilencedHippie why can’t you get a switch rn? ,,,
marykblackburn, Thu Apr 23 17:29:40 +0000 2020,-120.882482,47.273022, @SanMateogirl11 @ewarren You’re a scumbag ,,,
TonyPar36282257, Thu Apr 23 17:29:42 +0000 2020,-122.630908,45.536402, @tylerrjoseph State Farms insurance company requested sex for money donated a nonprofit status is required for hous… https://t.co/chyPPoMh3R ,,,
GrinchsUnicorn, Thu Apr 23 17:29:43 +0000 2020,-122.31543,47.27296, I'm at Washington State Weight Station in Federal Way, WA https://t.co/tkrTaf5Y0Q ,,
macwizer, Thu Apr 23 17:29:52 +0000 2020,-114.143262,45.494552, Screw #MAGA ..... #MAFA make America free again ,,,
GroovyTimes777, Thu Apr 23 17:29:55 +0000 2020,-122.630908,45.536402, @SenWarren our hearts are full. ,,,
pdxpolicelog, Thu Apr 23 17:30:02 +0000 2020,-122.684475,45.513925, UNWANTED PERSON at 1500 SW PARK AVE, PORT [Portland Police #PP20000132033] 10:24 #pdx911 ,,
pdxpolicelog, Thu Apr 23 17:30:02 +0000 2020,-122.615349,45.51315, VEHICLE STOLEN - COLD at 1300 SE 46TH AVE, PORT [Portland Police #PP20000131961] 08:51 #pdx911 ,,
allyct1200, Thu Apr 23 17:30:02 +0000 2020,-120.583402,44.145437, @laurenxomua So gorgeous 😍💖💖💖 ,,,
BPLyons11, Thu Apr 23 17:30:08 +0000 2020,-122.573359,48.867295, Two 1st round picks tonight and I completely trust Mayock after last year #RaiderNation ,,,
curly_scientist, Thu Apr 23 17:30:12 +0000 2020,-122.330602,47.614817, Dang I put on earrings today for the first time in 6 weeks and it hurt 😢 check on y’all earlobes ,,,
ljeanderson2, Thu Apr 23 17:30:12 +0000 2020,-122.194398,47.481598, Trump Pence Barr and whole cabinet and Mitch should resign now ,,,
erinreyehair, Thu Apr 23 17:30:13 +0000 2020,-122.630908,45.536402, @brighteyesband has new music and I am not emotionally prepared to listen to it yet lol ,,,
cdub77, Thu Apr 23 17:30:14 +0000 2020,-122.678249,45.518237, You know what time it is, #workout time! Today is the penultimate day of #10rounds with @jumpkck. It’s a great prog… https://t.co/M5DN543l4H ,,
C4R5ON, Thu Apr 23 17:30:15 +0000 2020,-117.000734,46.734707, It just seems like so many people think Tomorrow is guaranteed ,,,
drjootz, Thu Apr 23 17:30:16 +0000 2020,-122.630908,45.536402, “COVID-19 hyperinflammatory syndrome appears to be a different entity than virus-induced HLH. Modulation of T cell… https://t.co/i9dqKwvI1h ,,,
josiahjtubbs, Thu Apr 23 17:30:18 +0000 2020,-120.882482,47.273022, I'm not shy, make you sighSlip and slide up my thighsJuicy just like clementinesSorry if I make you cryParty ti… https://t.co/2JrM4ECNBs ,,
